clip_id,lab_colors,rgb_colors,mean_lightness,mean_saturation
20250107_230422,"[[89.32801192766085, 131.9091785155811, 136.6047844555133], [56.78678251802302, 130.59358901830902, 137.1379267661822], [127.64979598443557, 132.37432814463062, 137.68855418629335], [24.144505695631153, 129.59296790104744, 133.52564741219265], [173.32927695381363, 132.24831667076356, 134.82492522331043]]","[[92, 80, 69], [60, 51, 39], [131, 116, 103], [30, 25, 20], [177, 163, 155]]",94.24767461591284,189.04009651618438
20250108_144955,"[[175.509890747595, 126.747426141627, 128.83201139397582], [37.28701341782964, 128.89792162698126, 126.501811953397], [74.13684485391428, 128.5127872429311, 128.13546028503754], [124.98642694514385, 128.04058359351083, 130.9243274280196], [202.84285441140236, 127.30663350329938, 129.57827116690174]]","[[163, 169, 167], [35, 37, 39], [68, 68, 68], [117, 115, 112], [195, 197, 194]]",122.95260607517703,181.51761321009116
20250109_195148,"[[159.76798529694787, 131.78665002900817, 140.88603985318886], [71.69290558097623, 139.5924231322722, 149.99021427970422], [199.01049142665843, 131.1454104993655, 136.06981192376858], [23.081184501201733, 132.6162453248952, 133.62464555635486], [108.60550714769525, 135.455217249581, 139.78762539968494]]","[[165, 148, 130], [90, 59, 34], [205, 191, 178], [33, 23, 19], [118, 96, 82]]",112.4316147906959,193.94157901909352
20250110_124218,"[[213.17738801813042, 126.09642383341591, 122.93970012653524], [14.838720648822829, 129.21112278300393, 125.37234196356626], [104.32134613539527, 127.74578152771383, 128.17556831887705], [48.29755416112147, 134.3650947693029, 111.45526963331544], [157.34007052909357, 126.29063345604553, 136.1533952777648]]","[[198, 210, 219], [17, 18, 23], [94, 97, 96], [40, 44, 70], [151, 149, 134]]",107.5950158985127,179.47857254195395
20250111_083556,"[[168.1945881844246, 128.2814485240462, 127.98617893220023], [92.45125318975373, 132.13403820794179, 126.54855414361758], [220.69195030782737, 126.35571342363441, 136.5402547795034], [138.11054515845785, 128.69621068865337, 126.4257741074856], [40.35086380622596, 130.74147552425498, 122.26588424541117]]","[[159, 160, 162], [90, 83, 88], [219, 216, 201], [128, 130, 133], [38, 39, 48]]",131.95984012933792,181.92234282888444
20250111_083833,"[[206.11662382657192, 130.71133105044328, 148.5747917075483], [80.66074910333762, 133.059077536527, 133.71734059062035], [169.03256222299203, 126.33845223206072, 122.97112150668634], [32.50652903105923, 130.1148339398493, 127.78204392071075], [134.3762161808953, 137.97945254381972, 146.10527219362555]]","[[219, 198, 163], [85, 71, 66], [152, 163, 172], [35, 32, 34], [151, 119, 95]]",124.53853607297124,189.23234018017143
20250112_155218,"[[110.58719070782976, 128.88169493946404, 129.66615323412438], [210.46314123330342, 125.8977227499993, 127.34666298465508], [36.89161946124433, 128.80162640217156, 125.07741441462454], [155.42437125721088, 127.85810309179577, 130.73286431611567], [75.44679271078891, 128.90629056506762, 127.2273936698646]]","[[103, 102, 100], [198, 207, 207], [34, 36, 40], [146, 147, 143], [68, 69, 71]]",117.76262307407546,181.08298363917982
20250112_163052,"[[151.34464931955796, 127.3046761310349, 126.89270269555406], [84.9067175319566, 128.06408612256476, 126.31091821782594], [113.06920115730622, 127.96370550984176, 126.98404794671079], [49.70202362184456, 127.84241056966056, 126.62321077924294], [196.66092706587236, 126.399659090819, 123.65937886891075]]","[[139, 143, 146], [76, 78, 81], [101, 105, 108], [43, 47, 49], [181, 191, 199]]",119.13670373930753,179.3323189779442
20250113_210747,"[[15.114522928943288, 129.63519180140935, 129.32946182334734], [141.33577038411772, 132.80640541899348, 147.31694263995448], [85.27025914075071, 150.1454336613584, 154.08922153679313], [165.92841505291776, 130.17897243532073, 146.57709342411474], [46.01193921509392, 130.40608113986937, 135.71920856853228]]","[[21, 19, 18], [151, 129, 100], [119, 63, 38], [173, 155, 125], [51, 43, 34]]",90.73218134436468,196.1717488811335
20250114_191528,"[[29.433960575411255, 131.52135524318535, 135.45292578992772], [144.1025986520782, 139.89686700625018, 156.9200419422906], [98.29968598026073, 139.8536299678471, 146.73499781176497], [66.66858832317932, 145.5047178664898, 145.95868723726701], [167.9381901196648, 131.32444395950202, 149.40524566498604]]","[[38, 29, 21], [169, 127, 87], [117, 83, 62], [92, 50, 36], [178, 156, 122]]",101.28860473011886,201.34925470701245
