clip_id,video_file,datetime,date,time,year,month,day,latitude,longitude,location_label,emotion_tags,order_index,lab_colors,rgb_colors,mean_lightness,mean_saturation,tags,tag_1,tag_1_score,tag_2,tag_2_score,tag_3,tag_3_score,tag_4,tag_4_score,tag_5,tag_5_score,primary_mood,energy_level,social_context,self_focus,season,time_of_day,location_label_manual,notes,has_embedding,graph_x,graph_y
20250328_151926,D:\QCC\raw_videos\20250328_151926.mp4,2025-03-28T15:19:26,2025-03-28,15:19:26,2025,3,28,41.789,-87.5992,,,110,"[[123.90954284388158, 127.4863002444262, 133.39514341435859], [81.63231509563921, 128.84972780763417, 128.23370150745055], [158.0246250448996, 127.61824802149805, 127.66253730973078], [205.85051700945078, 124.18170346689729, 107.57895527892842], [28.436850854325527, 128.5039436670256, 126.90420119431892]]","[[116, 115, 106], [75, 75, 75], [147, 150, 151], [168, 203, 238], [28, 30, 32]]",119.57077016963932,178.34379239949533,"Spring, Day, Atmosphere, Fall, Far",Spring,0.265874296426773,Day,0.2416335046291351,Atmosphere,0.2409103363752365,Fall,0.2347065806388855,Far,0.2308633774518966,neutral,2.0,friends,2.0,spring,afternoon,university_quad,weather shows up a lot more than i expected. I caught most of the days it was really warm before jumping back to agony and cold again.,1,-0.28823873,-0.22056295
20250329_235911,D:\QCC\raw_videos\20250329_235911.mp4,2025-03-29T23:59:11,2025-03-29,23:59:11,2025,3,29,41.9442,-87.654,,,111,"[[10.70582092101786, 129.57157113732345, 126.77809994726505], [96.75893884014299, 128.14858225484633, 136.79040518032605], [56.00290532902517, 129.74481967929822, 136.0159524654352], [141.98387031333704, 128.60754128306291, 138.19890001954326], [210.31910120751724, 123.34816365697851, 135.14421555065587]]","[[14, 13, 18], [94, 88, 76], [59, 52, 41], [140, 132, 115], [201, 207, 192]]",103.15412732220808,185.6890277329736,"Night, Rain, Window, Atmosphere, Close",Night,0.2550480365753174,Rain,0.2378644049167633,Window,0.2368109226226806,Atmosphere,0.2290511280298233,Close,0.2256087958812713,anxious,1.0,friends,3.0,spring,evening,car,we were going to a club up north. it was a friend's birthday. i remember feeling incredibly anxious and hating the idea of anyone looking at me at that point. This feeling was unbearably strong because of the recent stalker situation at that time. i wanted to peel my skin off and walk away.,1,-0.26496512,-0.135663
20250330_184239,D:\QCC\raw_videos\20250330_184239.mp4,2025-03-30T18:42:39,2025-03-30,18:42:39,2025,3,30,41.8687,-87.6275,,,112,"[[154.87069523111592, 126.6675339958123, 129.53002490785195], [85.59047635371526, 133.33342875264344, 120.8808641446368], [40.820100049590536, 131.21107194028505, 129.51519209843374], [121.07530332077124, 132.10255135147392, 130.83587032676039], [206.7057888906662, 125.39923751179843, 131.18437308688186]]","[[143, 147, 144], [80, 76, 91], [44, 38, 38], [121, 110, 109], [197, 202, 195]]",121.81247276917183,182.5827100134732,"Alone, Close, Far, Past, Day",Alone,0.2335665971040725,Close,0.2307348847389221,Far,0.2288858145475387,Past,0.2250883430242538,Day,0.2224649041891098,,,,,,,,,1,-0.28034535,-0.15919423
20250331_210453,D:\QCC\raw_videos\20250331_210453.mp4,2025-03-31T21:04:53,2025-03-31,21:04:53,2025,3,31,41.784,-87.603,,,113,"[[45.87023257864402, 134.65978450492528, 140.36223951535698], [138.4892915479137, 135.48654987204023, 155.72267477452743], [190.49244542637132, 131.9546378575944, 146.19429062192012], [14.356115563434606, 131.3256221718134, 126.91989155370662], [83.95132637947728, 135.27996919039126, 148.65429115073903]]","[[57, 40, 26], [156, 124, 83], [202, 180, 150], [22, 16, 21], [97, 72, 45]]",94.6318822991682,196.29821233666,"Night, Spring, Close, Far, Snow",Night,0.2662393152713775,Spring,0.2415700256824493,Close,0.2391217350959777,Far,0.2385826408863067,Snow,0.2382732331752777,,,,,,,,,1,-0.33304104,-0.3170864
20250401_155047,D:\QCC\raw_videos\20250401_155047.mp4,2025-04-01T15:50:47,2025-04-01,15:50:47,2025,4,1,41.7951,-87.5857,,,114,"[[120.35271147530045, 140.5855457850884, 140.42856153942313], [26.943197921838916, 131.94118292486894, 127.18057978345246], [80.04449969041939, 134.7150582669937, 124.7056012239048], [219.31440401268821, 127.22955265159632, 135.42621574516465], [164.01484800020188, 133.077235472752, 135.47118692251325]]","[[138, 104, 92], [31, 27, 29], [81, 71, 80], [219, 215, 202], [170, 153, 144]]",122.13393222008976,188.25106647185137,"Fun, Far, Close, Past, Bedroom",Fun,0.2587103247642517,Far,0.2537295222282409,Close,0.2534420490264892,Past,0.2505518198013305,Bedroom,0.2488320171833038,joy,3.0,friends,2.0,spring,afternoon,comic_shop,"first time i stepped into first aid comics! this was the slow start of my obsession with magic the gathering. I remember going in to ask about it, and if they had any welcome decks. I already had the game night box at this point but haven't played it too much yet.",1,-0.12684515,0.13375267
20250402_151438,D:\QCC\raw_videos\20250402_151438.mp4,2025-04-02T15:14:38,2025-04-02,15:14:38,2025,4,2,41.7888,-87.6005,,,115,"[[85.47316929865372, 125.35659861758873, 135.30262902626768], [33.968587823998874, 126.27201178964204, 128.74784485031984], [158.91146776417713, 126.23038460437195, 137.78974279249366], [201.0242121074719, 128.20883506362676, 130.93201393780436], [125.1246399143624, 126.71409740695182, 138.090413395613]]","[[78, 79, 67], [30, 34, 33], [153, 150, 134], [197, 195, 191], [120, 117, 100]]",120.9004153817328,184.46404448299683,"Rain, Nature, Spring, Day, Alone",Rain,0.2646536827087402,Nature,0.2539202868938446,Spring,0.2502450048923492,Day,0.2420207262039184,Alone,0.2411208748817443,,,,,,,,,1,-0.24141501,-0.15689516
20250403_174103,D:\QCC\raw_videos\20250403_174103.mp4,2025-04-03T17:41:03,2025-04-03,17:41:03,2025,4,3,41.7844,-87.6027,,,116,"[[64.55355836891955, 131.4649776740551, 134.48067657705457], [195.45521799044008, 127.99211765116199, 132.33247965343838], [18.248693712473496, 131.14890608562288, 130.80642445979464], [148.51410459404894, 126.71387770068256, 134.9386744529541], [107.28038753024597, 128.1760329973943, 136.31343856888813]]","[[67, 58, 51], [190, 189, 181], [27, 20, 19], [140, 140, 129], [104, 99, 86]]",106.8103924392256,185.92319158325213,"Past, Bedroom, Day, Close, Window",Past,0.2208664715290069,Bedroom,0.2154114842414856,Day,0.2140406370162964,Close,0.2130646854639053,Window,0.2129236161708831,calm,2.0,alone,3.0,spring,afternoon,home,the first time i made tea! i also uploaded my videos for the first time. I had just got my sunroom set up and felt really good about my space.,1,-0.08819738,0.25792447
20250404_114209,D:\QCC\raw_videos\20250404_114209.mp4,2025-04-04T11:42:09,2025-04-04,11:42:09,2025,4,4,41.7884,-87.5995,,,117,"[[75.67537803275124, 127.79604561641956, 132.94636699270038], [162.47437663670038, 128.13088416558102, 131.02784256670492], [25.908750005051445, 128.25892587739608, 130.24493359841907], [225.94768335758639, 126.82040347009134, 122.1718640163258], [118.14953478965928, 124.29283183782304, 137.56455084831535]]","[[70, 70, 63], [156, 154, 149], [28, 27, 24], [211, 223, 233], [109, 111, 94]]",121.63114456434974,182.39237166545968,"Spring, Fall, Atmosphere, Day, Close",Spring,0.2547774910926819,Fall,0.2445805370807647,Atmosphere,0.2392866909503936,Day,0.2354776263236999,Close,0.2335877865552902,,,,,,,,,1,-0.27865326,-0.21943548
20250405_175926,D:\QCC\raw_videos\20250405_175926.mp4,2025-04-05T17:59:26,2025-04-05,17:59:26,2025,4,5,41.7893,-87.5977,,,118,"[[58.161264596205974, 140.10336574000675, 144.81598762342102], [166.34819458292822, 129.4452142962373, 144.87229882145311], [96.31921575765733, 145.35426117432507, 157.45368597759867], [228.3961597707471, 125.07140490940962, 131.8681758704189], [21.10995840998526, 131.84319343757502, 130.58831643052844]]","[[77, 47, 31], [171, 156, 130], [126, 77, 42], [221, 226, 219], [29, 23, 21]]",114.06695862350476,195.47582914496093,"Thoughts, Far, Atmosphere, Now, Close",Thoughts,0.2122127562761306,Far,0.2098126858472824,Atmosphere,0.2096362859010696,Now,0.2094415724277496,Close,0.2087831646203994,,,,,,,,,1,-0.12504153,0.14478807
20250406_183518,D:\QCC\raw_videos\20250406_183518.mp4,2025-04-06T18:35:18,2025-04-06,18:35:18,2025,4,6,41.7844,-87.6029,,,119,"[[84.80387864540882, 128.32105313115434, 131.52599606084468], [8.00885530109641, 129.40798129234622, 128.74400575063677], [233.77614050255397, 125.97621693022712, 134.6886752651203], [150.8264965225615, 127.63433618976536, 126.71617610531717], [50.5459078243392, 128.51220755393751, 132.32528072063442]]","[[80, 77, 73], [13, 10, 11], [229, 232, 219], [138, 142, 145], [50, 47, 42]]",105.59225575919196,183.0059716314351,"Window, Bedroom, Self, Day, Alone",Window,0.2743721306324005,Bedroom,0.2711847424507141,Self,0.2623110711574554,Day,0.2600728869438171,Alone,0.260071724653244,,,,,,,,,1,0.009755153,0.039199308
